序号,项目名称,房源描述,建筑面积,户型,楼层,总层数,朝向,建筑年代,单价（元/平米）,总价（万元）,所属学校,距离学校,所在区县,学区内小区个数,普通,小班教学,区重点,体育类,艺术类,语文类,双语,科技类,名校附属,市重点,外语类
4035,清泰小区,采荷 三开间朝南 房东自住装修 可,127,3室2厅,高层,7,南北向,1997,36654,465.5,采荷第二小学,0.19km,采荷,12个小区,否,是,是,否,否,否,是,否,否,否,否
4036,桂花城别墅,桂花城桂湖苑独栋别墅 花园面积600方 精装 房东诚心出售,292,5室2厅,低层,3,南向,2001,97603,2850,求是教育集团星洲小学,0.71km,西湖,13个小区,否,是,是,否,否,否,否,否,否,否,否
4037,清泰小区,中间楼层 采光充足 全明户型 随时看房,94,3室1厅,高层,7,南北向,1996,42553,400,采荷第二小学,0.19km,采荷,12个小区,否,是,是,否,否,否,是,否,否,否,否
4038,仙林苑,仙林苑 国都公寓 浙报公寓旁边 两房南 边套户型正气 长寿桥,118,3室1厅,中层,22,南北向,2002,40678,480,杭州市长寿桥小学孩儿校区,0.37km,下城,11个小区,否,是,否,否,否,否,否,否,否,是,否
4039,仙林苑,仙林苑 3房东边套 精装修 一梯二户 小区环境好房龄新!,55,3室1厅,低层,7,南北向,2003,48364,266,杭州市长寿桥小学孩儿校区,0.37km,下城,11个小区,否,是,否,否,否,否,否,否,否,是,否
4040,仙林苑,玄坛弄:三房朝南户型方正 干净清爽 看房方便 随时入住采光好,91,3室2厅,高层,6,南北向,2002,43187,393,杭州市长寿桥小学孩儿校区,0.37km,下城,11个小区,否,是,否,否,否,否,否,否,否,是,否
4041,仙林苑,"仙林苑 东边套 长寿桥春蕾本部 精装修,价格可以谈!",86,3室2厅,中层,7,南北向,2010,42849,370,杭州市长寿桥小学孩儿校区,0.37km,下城,11个小区,否,是,否,否,否,否,否,否,否,是,否
4042,海月花园,129方 东边套 4房 沿河 安静 有车位 户型正气 诚售,129,4室2厅,高层,6,南向,2003,37068,480,杭州市教育科学研究所附属小学,0.08km,南星,7个小区,是,是,否,否,否,否,否,是,否,否,否
4043,海月花园,"新出商品房3房总价低,海月不多的好房子!",86,3室1厅,中层,6,南北向,2004,33721,290,杭州市教育科学研究所附属小学,0.08km,南星,7个小区,是,是,否,否,否,否,否,是,否,否,否
4044,迎春北苑,"迎春北苑,地段好,楼层好,三开间朝南,全明户型,房东诚售!",89,3室2厅,中层,6,南北向,2005,27640,246,江南实验学校教育集团小学部,0.75km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4045,文鼎苑,耀江文鼎苑 3房2卫 精装修 2号线 印象城 诚心出售!,129,3室2厅,低层,24,南北向,2009,54264,700,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4046,文鼎苑,高楼层可以俯视浙大南望北高 诚心出售不占用 看房方便,89,2室2厅,中层,24,南北向,2008,60112,535,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4047,文鼎苑,学军 精装修 小区花园位置 不沿马路 随时看房,89,2室2厅,高层,18,南北向,2009,59326,528,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4048,文鼎苑,"学军小面积,总价低,毛坯房,看房方便",59,1室2厅,中层,24,南向,2009,71307,420,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4049,迎春北苑,"房子卖点: 房子楼层佳,置换出售,采光好,价格可议",106,3室2厅,中层,6,南北向,2000,22727,240,江南实验学校教育集团小学部,0.75km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4050,天阳上河,天阳上河精装大两房 免营业税可省近16万 房东换房诚心出售,78,2室2厅,低层,16,南北向,2008,38462,300,拱墅区教师进修学校附属学校,0.62km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
4051,文鼎苑,小区门口 300米内 学军、在建!没有营业税、个税!,88,2室2厅,中层,27,南向,2009,48295,425,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4052,文鼎苑,"南北通透,错层,纯东边套,看房方便,自住装修,三开间朝南",133,3室2厅,中层,11,南北向,2009,54887,730,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4053,文鼎苑,"耀江文鼎苑,边套楼层好,南北通透,两房朝南,客厅餐厅带阳台",127,3室2厅,高层,24,南北向,2009,52145,660,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4054,文鼎苑,房子自住精装 三个阳台利用高 南北通透纯边套 无营业税,127,3室2厅,低层,24,南北向,2009,59226,754,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4055,文鼎苑,"学军读书,三房精装修,高,房东诚心出售,价格真实惠!",99,3室2厅,中层,18,南北向,2008,59394,588,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4056,仙林苑,仙林苑、清爽装修、三房两厅两卫、南北通透东边套、明卫,123,3室2厅,低层,18,南北向,2003,47270,580,杭州市长寿桥小学孩儿校区,0.37km,下城,11个小区,否,是,否,否,否,否,否,否,否,是,否
4057,天阳上河,天阳上河湾 精装四房 送入室花园 位置好!,88,4室2厅,低层,11,南向,2011,43750,385,拱墅区教师进修学校附属学校,0.62km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
4058,天阳上河,天阳上河全明正气户型 精装两房总价低 得房达88%,76,2室2厅,低层,17,南北向,2010,39474,300,拱墅区教师进修学校附属学校,0.62km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
4059,天阳上河,"好房诚售 楼层好,景观房.户型好,得房 精装修,",98,3室2厅,高层,17,南北向,2010,38776,380,拱墅区教师进修学校附属学校,0.62km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
4060,文鼎苑,"新上89方,装修刚装好,因为找好名办关系,所以这边要卖掉",89,2室2厅,高层,24,南北向,2008,58427,520,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4061,仙林苑,"长寿桥板块,1梯两户,阳光4楼,全明边套,10万精装修小2房",47,2室1厅,中层,7,南北向,1998,43011,200,杭州市长寿桥小学孩儿校区,0.37km,下城,11个小区,否,是,否,否,否,否,否,否,否,是,否
4062,文鼎苑,纯边套 纯毛坯 难得出一套四房户型 南北通透 高楼层,180,4室2厅,中层,24,南北向,2009,53778,968,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4063,文鼎苑,文鼎苑新上1期60万精装修三房.得房率85%.房东自住,135,3室2厅,中层,24,南北向,2008,55556,750,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4064,文鼎苑,"新出好房,自住精装修,保养好,180度视野,看房方便",137,3室2厅,中层,25,南北向,2009,53139,728,杭州市学军小学紫金港校区,0.54km,西湖,3个小区,否,是,否,否,否,否,否,否,是,是,否
4065,仙林苑,"安吉路+长寿桥双,南北通透,中间楼层,精装修!",144,3室2厅,中层,19,南北向,2002,50977,736,杭州市长寿桥小学孩儿校区,0.37km,下城,11个小区,否,是,否,否,否,否,否,否,否,是,否
4066,仙林苑,"双,仙林苑,楼层好,全天光照",135,3室2厅,中层,16,南北向,2000,50326,680,杭州市长寿桥小学孩儿校区,0.37km,下城,11个小区,否,是,否,否,否,否,否,否,否,是,否
4067,天阳上河,天阳上河湾 精装四房 送入室花园 位置好!,76,2室2厅,高层,16,南向,2008,39474,300,拱墅区教师进修学校附属学校,0.62km,和睦,12个小区,是,否,否,否,否,否,否,否,否,否,否
4068,九润公寓,送您私人豪华100平米的大花园 家电家具全送 车位也是送您的,158,4室2厅,高层,14,南北向,2013,28544,451,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4069,九润公寓,"真!房,全明东边套送30万精装,近东城实验物美边!",116,3室2厅,中层,14,南北向,2012,29828,346,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4070,龙湖滟澜山,龙湖洋房 洋房 满两年 带车位 500万,144,3室2厅,中层,7,南北向,2015,34722,500,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4071,温馨人家,温馨人家 业主诚心出售 看房随时 满五 江南实验,124,3室2厅,中层,17,东南向,2000,36346,450,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4072,机神新村,18万精装修 首付3层 一梯3户 房东置换,40,2室1厅,低层,6,南北向,1988,24538,97,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4073,采荷东区,采荷东区新出边套户型 正气三房 诚心卖 采光 户型正气,143,3室2厅,中层,7,南北向,2010,41259,590,杭州采荷第三小学,0.17km,采荷,3个小区,否,是,是,否,否,否,否,否,否,否,否
4074,龙湖滟澜山,龙湖滟澜山 温馨小户型 满5年 看房方便 边套!,60,1室2厅,低层,22,西南向,2012,32516,195,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4075,龙湖滟澜山,龙湖茗轩 天街 大三房 精装修 满2年 看房方便!,132,3室2厅,高层,19,西向,2012,35944,475,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4076,龙湖滟澜山,龙湖茗轩 天街 三房 带大露台 中等装修 看房方便,87,3室2厅,低层,26,西向,2012,32348,280,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4077,温馨人家,成熟商圈 热门户型,90,2室2厅,低层,18,南向,2009,42082,380,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4078,采荷东区,"采荷东区 普通装修, 2室2厅, 75.98m",76,2室2厅,高层,7,南北向,1998,42116,320,杭州采荷第三小学,0.17km,采荷,3个小区,否,是,是,否,否,否,否,否,否,否,否
4079,龙湖滟澜山,"龙湖滟澜山新出精装大三房,自住精装修40万全送,带一个车位!",133,4室2厅,中层,35,南北向,2015,28947,385,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4080,龙湖滟澜山,龙湖洋房底跃 使用面积大 毗邻龙湖天街繁华地段,187,3室2厅,低层,7,南北向,2015,33690,630,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4081,机神新村,口精装修20万婚房 采光诚心出售 楼层价格低 两房朝南,54,2室1厅,中层,6,南北向,1988,27407,148,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4082,机神新村,楼层好4楼 15万自住装修 靠运河 采光好 无营业税省8万!,54,2室1厅,中层,6,南北向,1988,28032,150,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4083,机神新村,机神新村 精装带院子可做三房 诚卖 有钥匙可以随时看房,51,2室1厅,低层,6,南北向,1988,35294,180,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4084,采荷东区,采荷3小:采荷东区、独有房源、单价3万9、房东是我同学姐姐,69,2室2厅,高层,7,南向,1995,39130,270,杭州采荷第三小学,0.17km,采荷,3个小区,否,是,是,否,否,否,否,否,否,否,否
4085,温馨人家,"精装三房,送40方私家露台,房东置换诚心出售",138,3室2厅,低层,11,南北向,2006,31884,440,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4086,机神新村,经典大2房 双阳台 南北通透 2房朝南 急 售,69,2室2厅,高层,7,南北向,1988,27725,190,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4087,育秀园,"双,精装修,离菜场近",155,3室2厅,高层,6,南北向,1997,23500,363.66,浙江省湘湖师范学校附属小学,0.51km,萧山,6个小区,否,否,否,是,是,否,否,否,否,是,否
4088,育秀园,"双洄澜,03年房,精装4房,小区,送洗衣房,边套,急",158,3室2厅,中层,6,南北向,2000,22138,350,浙江省湘湖师范学校附属小学,0.51km,萧山,6个小区,否,否,否,是,是,否,否,否,否,是,否
4089,育秀园,老城区 小孩读书方便 生活配套成熟 楼层好,110,3室2厅,低层,6,南北向,2000,19091,210,浙江省湘湖师范学校附属小学,0.51km,萧山,6个小区,否,否,否,是,是,否,否,否,否,是,否
4090,机神新村,机神新村 送15万精装修 中间楼层 无营业税 诚售 看房方便,52,2室1厅,中层,6,南向,1988,27308,142,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4091,育秀园,双洄澜 育秀园 精装3房 南北通透 全明户型 诚售,121,3室2厅,中层,6,南北向,2005,18595,225,浙江省湘湖师范学校附属小学,0.51km,萧山,6个小区,否,否,否,是,是,否,否,否,否,是,否
4092,龙湖滟澜山,"龙湖滟澜山,天街旁大三房,中间楼层,视野开阔全天采光诚心在卖",127,3室2厅,高层,21,南北向,2015,29134,370,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4093,龙湖滟澜山,"龙湖两室,送车位!业主自住装修清爽,龙湖天街五十米",89,2室2厅,高层,23,南北向,2015,34270,305,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4094,龙湖滟澜山,口 龙湖 精装跃层2室2卫 房东急卖 280万带车位,82,1室0厅,中层,25,东西向,2015,34146,280,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4095,九润公寓,精装修全送 单元边套户型 楼层 724 随时看房,85,3室1厅,低层,15,南北向,2010,27745,235,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4096,九润公寓,九润公寓 南北通透户型 双阳台 有车位 房东置换 诚心出售,89,3室2厅,中层,12,南北向,2013,24752,220,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4097,机神新村,新上!机神新村 带20万精装修 户型正气 房东置换 城售,57,2室1厅,低层,6,南向,1988,26923,154,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4098,温馨人家,西边套 小区中间位置 南北通透 买进即可出租,131,3室2厅,低层,11,南北向,2000,31298,410,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4099,温馨人家,大3房朝南带储藏室房东诚心出售满5年总价低楼层采光好,144,3室2厅,中层,20,南北向,2006,31944,460,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4100,机神新村,三里亭 濮家 闸弄口板块 精装 好房诚售,76,2室1厅,中层,7,南北向,1992,37495,285,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4101,机神新村,运河景观房!!300米到地_口!!精装修两房!!,53,2室1厅,高层,7,南向,1988,22801,120,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4102,机神新村,"小区中间位置,紧挨,送婚房精装,直降5万,房东急售!",36,1室1厅,高层,6,南向,1988,33155,118,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4103,机神新村,"东边套,口,3房精装修,金9银10,在不看好又是一波",84,3室2厅,中层,6,南北向,1988,26128,220,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4104,机神新村,"地_口两房,运河景观!户型正气!难得一遇的好房子!",68,2室1厅,高层,7,南向,1991,28887,196,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4105,龙湖滟澜山,"龙湖洋房底跃,192方实得550方,尊贵生活从此房开始",192,5室3厅,低层,7,南北向,2013,32031,615,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4106,龙湖滟澜山,"滟澜山一期,位置优越,视野宽广,高,诚心出售,户型正气",60,2室2厅,中层,23,南北向,2010,35018,210,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4107,龙湖滟澜山,"龙湖3期中装三房,南北通透,可,良心物业高品质小区",60,2室2厅,中层,23,南北向,2010,35018,210,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4108,龙湖滟澜山,"龙湖滟澜山二期,127方三房两卫,带车位,满两年!欲购从速!",127,3室2厅,中层,22,南北向,2013,29528,375,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4109,龙湖滟澜山,龙湖二期 开发商统一精 装 60方 满两年 诚心出售,65,2室1厅,高层,22,西北向,2015,26154,170,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4110,温馨人家,东边套 诚心卖 户型好 总价低 小区位置好 大四房,158,4室2厅,中层,18,南北向,2014,36076,570,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4111,温馨人家,"江南实验版块,低总价好房,精装修,楼层好,诚心出售价格可谈!",90,2室2厅,低层,18,南北向,2014,39933,360,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4112,九润公寓,东城实验200m 近物美 大户型 南北通透 房东诚信出售,169,4室2厅,中层,14,南北向,2013,24807,420,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4113,九润公寓,客厅带阳台 全明东边套 三房送双飘窗 房东因买房不得不卖,87,3室2厅,高层,13,南北向,2013,27471,239,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4114,机神新村,"为房消得你憔悴,蓦然回首,好房在机神新村!千年等待你的出现",47,2室1厅,低层,6,南北向,1986,35287,165,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4115,机神新村,15W精装自住全送 阳光4楼 无营有个 省8W起 看房方便,52,2室1厅,中层,6,南北向,1988,28846,150,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4116,机神新村,2房南北户型中间楼层 采光好 送10万精装修 拎包可住,51,2室1厅,中层,6,南北向,1988,29226,148,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4117,龙湖滟澜山,"龙湖新出大面积,户型 ,金沙湖口,原始大三房",119,3室2厅,低层,26,南北向,2010,35294,420,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4118,龙湖滟澜山,"真的房子!龙湖滟澜山82方跃层,精装修20万,视野和采光好!",82,2室2厅,高层,23,东南向,2015,26829,220,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4119,龙湖滟澜山,"龙湖滟澜山:大三房,小区中间位置,房",127,3室2厅,低层,22,南北向,2013,31339,398,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4120,温馨人家,"江南实验西边套,两房朝南一房朝北 南北通透 房东置换诚心出售",123,3室2厅,高层,18,南向,2005,36532,450,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4121,温馨人家,温馨人家 南北户型 满2 江南实验 有车位 边套,139,3室2厅,低层,18,南北向,2014,33094,460,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4122,九润公寓,"客厅带阳台,全明东边套,三房送双飘窗,房东因买房不得不卖",89,3室2厅,中层,15,南北向,2013,25618,228,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4123,机神新村,"首付45万,15万自住精装修,税省9万购房款,本周6万",54,2室1厅,中层,7,南向,1988,27778,150,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4124,机神新村,楼层好3楼 标准两室两厅户型正气 总价只需170万 首付3成,59,2室2厅,中层,7,南向,1988,28765,170,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4125,温馨人家,"江南实验,小区景观位置,小高层大跃层,南北私家大露台!",216,4室3厅,高层,11,南北向,2004,34722,750,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4126,九润公寓,带车位 东边套 3房2卫 低于市场价 房东诚心出售,115,3室2厅,中层,16,南北向,2014,27875,320,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4127,九润公寓,大城东;东城实验旁、圆梦房、低首付产证满二、,77,2室2厅,中层,14,南北向,2013,25714,198,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4128,九润公寓,九润公寓;精装修大三房、家具家电全送、业主置换看中价格可谈,89,3室2厅,高层,14,南北向,2013,29213,260,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4129,机神新村,机神新村 新出房源 中间楼层 房东诚心出售 看房方便,35,1室1厅,中层,6,南北向,1988,30000,105,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4130,机神新村,"为房消得你憔悴,蓦然回首,好房在机神新村!千年等待你的出现",74,2室1厅,高层,7,南向,1988,32917,245,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4131,龙湖滟澜山,"龙湖滟澜山:好洋房,好楼层,好价格,南北对通,全明户型,急卖",170,1室0厅,高层,7,南北向,2015,30000,510,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4132,龙湖滟澜山,龙湖洋房品质 经典大三房 小区绿化好 物业管理佳,176,3室2厅,高层,7,南北向,2015,34091,600,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4133,九润公寓,"九润公寓精装修,心血和技术的结合,多方多卫 送50方露台",156,4室2厅,高层,12,南向,2013,29359,458,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4134,九润公寓,诚售:九堡总价的商品房 75方两房 主卧带阳台赠送面积多,76,2室2厅,中层,12,南向,2013,26333,200,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4135,九润公寓,新上郝房 南北通透层高3.1住的舒服房东置换诚心出售,90,3室2厅,中层,14,南向,2013,29050,260,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4136,机神新村,经典小户型 总价底 1楼送大院子 养老过渡 新上好房 简装修,38,1室1厅,低层,6,南向,1988,28993,110,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4137,机神新村,机神新村 阳光无遮挡4楼 小区 正对花园 标准两房,46,2室1厅,中层,6,南北向,1988,24707,114,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4138,机神新村,机神新村 阳光无遮挡4楼 小区 正对花园 标准两房,46,2室1厅,中层,6,南北向,1988,24707,114,杭州濮家小学教育集团濮家校区,0.42km,闸弄口,4个小区,否,是,是,否,否,否,否,否,否,否,否
4139,温馨人家,"没有经典的房源描述,没有华丽的房源照片,只有一套好房随时看房",138,3室2厅,中层,6,南北向,2004,33696,465,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4140,温馨人家,江南实验 大三房 带大露台 送自住中装修 业主置换诚心出售,136,3室2厅,低层,16,南北向,2006,31618,430,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4141,九润公寓,"九润公寓,舒适性住宅,三房两厅,楼层好户型佳,业主诚售",120,3室2厅,高层,14,南北向,2013,25855,310,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4142,九润公寓,跃层精装送大露台30万家具家电全送 附送地下车位,141,4室2厅,高层,14,南向,2013,28267,398,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4143,采荷东区,采荷东区正气朝南两房全明南北通透中间楼层交通方便,84,2室2厅,中层,7,南北向,2000,38095,320,杭州采荷第三小学,0.17km,采荷,3个小区,否,是,是,否,否,否,否,否,否,否,否
4144,采荷东区,毗邻钱江新城、口、业主长期出差已单独委托我司出售管理此房,70,2室2厅,高层,7,南向,1998,40286,282,杭州采荷第三小学,0.17km,采荷,3个小区,否,是,是,否,否,否,否,否,否,否,否
4145,采荷东区,"采荷东区新出边套户型,正气三房,诚心卖,采光好,户型正气。",94,3室2厅,高层,7,南北向,1995,38298,360,杭州采荷第三小学,0.17km,采荷,3个小区,否,是,是,否,否,否,否,否,否,否,否
4146,龙湖滟澜山,"花园洋房 口,纯毛坯 税 ,楼层,总价低,改善。",173,4室2厅,高层,7,南北向,2015,32948,570,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4147,温馨人家,江南实验 大三房 带大露台 送自住中装修 业主置换诚心出售,136,3室2厅,低层,16,南北向,2006,31618,430,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4148,温馨人家,"三开间朝南温馨人家大户型,却是低总价,目前空置,看房提前联系",135,3室2厅,低层,25,南北向,2014,32593,440,江南实验学校教育集团小学部,0.40km,西兴,13个小区,否,否,是,否,否,否,否,否,是,否,否
4149,九润公寓,南北通透 看房方便 适合居住 低于市场价,177,5室2厅,中层,14,南北向,2013,25375,450,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4150,龙湖滟澜山,龙湖二期 新上精装好房!全明采光!低于市场价30万!,75,2室2厅,高层,34,南北向,2015,36133,271,下沙经济开发区学林街小学,0.42km,下沙物美,5个小区,是,否,否,否,否,是,否,否,否,否,否
4151,九润公寓,新出精致三房 南北通透户型正气采光好 看房方便 业主诚售,120,3室2厅,高层,14,南北向,2013,25021,300,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4152,九润公寓,"精装迷你小三房,高楼层视野开阔,可直接,.送入户花园",81,3室2厅,高层,12,南北向,2013,33329,270,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
4153,九润公寓,九润公寓 南北通透 户型方正大气 采光良好 看房方便,86,3室2厅,中层,14,南北向,2013,25581,220,杭州师范大学东城实验学校,0.80km,九堡,10个小区,否,是,是,否,否,否,否,否,否,否,否
